Scheme_Category,Date,No_of_Folios,SIP_Contribution_Cr,Redemptions_Cr,Net_Inflows_Cr,Net_AUM_Cr,Average_Net_AUM_Cr
Large Cap Fund,2025-09-01,16625122,5576.81873951,3257.77714462,2319.04159489,395093.32180022,399779.69459429
Large & Mid Cap Fund,2025-09-01,12853471,6769.39971983,2964.23461781,3805.16510202,306903.34852113,309862.40085752
Mid Cap Fund,2025-09-01,23343247,8793.49818869,3708.10234892,5085.39583977,433540.2453328,439969.23713339
Small Cap Fund,2025-09-01,26894961,8065.52090083,3702.60708264,4362.91381819,356740.74637455,362741.69336218
Large Cap Fund,2025-08-01,16539476,5475.39808437,2640.51660592,2834.88147845,389982.59098833,392379.0641337
Large & Mid Cap Fund,2025-08-01,12691674,5501.95244344,2176.29501869,3325.65742475,299335.04848411,301161.32598047
Mid Cap Fund,2025-08-01,23000768,8288.31468766,2957.69018654,5330.62450112,426623.48378171,428719.13545035
Small Cap Fund,2025-08-01,26635485,7619.26169882,2626.35211606,4992.90958276,350555.21389902,352644.66137703
Large Cap Fund,2025-07-01,16444374,5503.66657595,3378.57631349,2125.09026246,391762.72899624,394905.26883144
Large & Mid Cap Fund,2025-07-01,12511660,7399.65698574,2364.94341885,5034.71356689,300972.11446238,302807.7796291
Mid Cap Fund,2025-07-01,22564162,8711.45672517,3528.96650189,5182.49022328,428582.49916458,431587.59212204
Small Cap Fund,2025-07-01,26255276,9776.24159039,3291.81280514,6484.42878525,355901.83822483,358771.29939674
Large Cap Fund,2025-06-01,16304538,5171.34071952,3477.00887533,1694.33184419,397470.46665678,389566.40510031
Large & Mid Cap Fund,2025-06-01,12262237,5847.93548336,2351.0241513,3496.91133206,302139.03351577,294474.57736616
Mid Cap Fund,2025-06-01,22005565,7539.52865289,3785.10931978,3754.41933311,431699.79269591,419404.14019262
Small Cap Fund,2025-06-01,25614974,7426.633143,3402.13554721,4024.49759579,354550.63244336,344307.60395219
Large Cap Fund,2025-05-01,16175181,5240.69904301,3990.22480503,1250.47423798,383666.58564228,380250.63119731
Large & Mid Cap Fund,2025-05-01,12069826,5352.71747704,2662.03010565,2690.68737139,287392.49950508,280686.22047332
Mid Cap Fund,2025-05-01,21538476,6812.23985462,4003.56014795,2808.67970667,408092.68058066,395846.07139674
Small Cap Fund,2025-05-01,25248991,6754.21259852,3540.0069504,3214.20564812,336005.20806956,321670.43205941
Large Cap Fund,2025-04-01,16090916,5891.4497738,3219.98613495,2671.46363885,374519.71010756,361853.45959419
Large & Mid Cap Fund,2025-04-01,11957644,5485.43275916,2933.376566,2552.05619316,273258.42166549,265202.48406459
Mid Cap Fund,2025-04-01,21310959,6748.96940719,3434.99388188,3313.97552531,383083.71355494,370097.35101234
Small Cap Fund,2025-04-01,25141474,7017.90004919,3017.94731795,3999.95273124,307168.10748578,302451.85784693
Large Cap Fund,2025-03-01,15997325,6248.84487035,3769.53483461,2479.31003574,359775.39060436,348889.451102
Large & Mid Cap Fund,2025-03-01,11841516,5113.93968564,2395.87296506,2718.06672058,263206.56330922,254637.14921192
Mid Cap Fund,2025-03-01,21094403,6853.63123853,3414.75663866,3438.87459987,368992.07599233,356671.84378477
Small Cap Fund,2025-03-01,25010377,6912.93940643,2820.81806497,4092.12134146,295478.84401928,288473.48950492
Large Cap Fund,2025-02-01,15864041,5309.18728943,2443.18915095001,2865.99813848,335387.54724984,349572.70418438
Large & Mid Cap Fund,2025-02-01,11709986,4537.39860855,1881.43006462,2655.96854393,242809.17305067,254938.73409616
Mid Cap Fund,2025-02-01,20822194,6636.62686246001,3229.6807497,3406.94611276,340656.69500112,360862.17974381
Small Cap Fund,2025-02-01,24828591,7033.57305446001,3311.11126966,3722.46178480001,273877.20754382,293136.32110885
Large Cap Fund,2025-01-01,15723013,5731.07704597,2667.74343548,3063.33361049,354365.8307808,354160.55651849
Large & Mid Cap Fund,2025-01-01,11561541,6248.40326363,2125.44929269,4122.95397093999,260828.35628105,263700.0720996
Mid Cap Fund,2025-01-01,20460332,8599.79202078999,3451.91754716,5147.87447362999,373184.2224955,383066.46403179
Small Cap Fund,2025-01-01,24588422,9039.82148838999,3318.95080698001,5720.87068140999,305580.17175628,315169.56848909
Large Cap Fund,2024-12-01,15529618,5178.82722312,3167.84737185,2010.97985127,358671.87699694,366104.25100778
Large & Mid Cap Fund,2024-12-01,11329719,6202.24599647,2390.43585166,3811.81014481001,270774.49004254,273845.68246643
Mid Cap Fund,2024-12-01,19729172,8803.6638307,3710.43936901,5093.22446169,399784.16924957,401252.21584052
Small Cap Fund,2024-12-01,24035920,8470.13001313,3802.43247195,4667.69754118,329245.31121821,332952.23152012
Large Cap Fund,2024-11-01,15359112,5633.11044237,3085.19238691,2547.91805546,362680.48880868,358340.8566136
Large & Mid Cap Fund,2024-11-01,11115277,6374.52339795,1694.78041468,4679.74298327,268225.55887815,262320.30599773
Mid Cap Fund,2024-11-01,18956532,7674.98279015,2791.57954293,4883.40324722001,389881.97198898,381717.51402084
Small Cap Fund,2024-11-01,23521214,7777.04479634,3665.15262458,4111.89217176,326391.44367179,318281.5262398
Large Cap Fund,2024-10-01,15150734,6855.48528016,3403.14902894,3452.33625122,359461.11682335,367566.00406284
Large & Mid Cap Fund,2024-10-01,10899702,7177.08113816,2319.94468222,4857.13645594,261979.73915753,266686.84848383
Mid Cap Fund,2024-10-01,18350102,8946.17397699,4263.27641941,4682.89755758,381708.83396418,389023.01684318
